
implementation: default_bcast | chunksize: 100000000 |  time: 0.046 seconds
implementation: default_bcast | chunksize: 100000000 |  time: 0.059 seconds
implementation: default_bcast | chunksize: 100000000 |  time: 0.306 seconds
implementation: naive_bcast | chunksize: 100000000 |  time: 0.284 seconds
implementation: naive_bcast | chunksize: 100000000 |  time: 0.394 seconds
implementation: naive_bcast | chunksize: 100000000 |  time: 3.202 seconds
implementation: ring_bcast | chunksize: 100000000 |  time: 0.277 seconds
implementation: ring_bcast | chunksize: 100000000 |  time: 0.282 seconds
implementation: ring_bcast | chunksize: 100000000 |  time: 0.332 seconds
implementation: pipelined_ring_bcast | chunksize: 1000000 |  time: 0.023 seconds
implementation: pipelined_ring_bcast | chunksize: 1000000 |  time: 0.053 seconds
implementation: pipelined_ring_bcast | chunksize: 1000000 |  time: 0.360 seconds
implementation: pipelined_ring_bcast | chunksize: 10000000 |  time: 0.045 seconds
implementation: pipelined_ring_bcast | chunksize: 10000000 |  time: 0.051 seconds
implementation: pipelined_ring_bcast | chunksize: 10000000 |  time: 0.157 seconds
implementation: pipelined_ring_bcast | chunksize: 25000000 |  time: 0.083 seconds
implementation: pipelined_ring_bcast | chunksize: 25000000 |  time: 0.089 seconds
implementation: pipelined_ring_bcast | chunksize: 25000000 |  time: 0.160 seconds
implementation: pipelined_ring_bcast | chunksize: 50000000 |  time: 0.148 seconds
implementation: pipelined_ring_bcast | chunksize: 50000000 |  time: 0.153 seconds
implementation: pipelined_ring_bcast | chunksize: 50000000 |  time: 0.205 seconds
implementation: pipelined_ring_bcast | chunksize: 100000000 |  time: 0.277 seconds
implementation: pipelined_ring_bcast | chunksize: 100000000 |  time: 0.282 seconds
implementation: pipelined_ring_bcast | chunksize: 100000000 |  time: 0.332 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 1000000 |  time: 0.013 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 1000000 |  time: 0.032 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 1000000 |  time: 0.235 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 10000000 |  time: 0.036 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 10000000 |  time: 0.042 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 10000000 |  time: 0.136 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 25000000 |  time: 0.076 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 25000000 |  time: 0.081 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 25000000 |  time: 0.147 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 50000000 |  time: 0.143 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 50000000 |  time: 0.148 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 50000000 |  time: 0.193 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 100000000 |  time: 0.277 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 100000000 |  time: 0.282 seconds
implementation: asynchronous_pipelined_ring_bcast | chunksize: 100000000 |  time: 0.326 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 1000000 |  time: 0.082 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 1000000 |  time: 0.416 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 1000000 |  time: 3.879 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 10000000 |  time: 0.049 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 10000000 |  time: 0.091 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 10000000 |  time: 0.629 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 25000000 |  time: 0.047 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 25000000 |  time: 0.068 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 25000000 |  time: 0.411 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 50000000 |  time: 0.046 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 50000000 |  time: 0.058 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 50000000 |  time: 0.337 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 100000000 |  time: 0.046 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 100000000 |  time: 0.054 seconds
implementation: asynchronous_pipelined_bintree_bcast | chunksize: 100000000 |  time: 0.296 seconds
